Casino,Gross Receipts,Gross Retail Receipts,Gross Online Receipts,Date,Online_co,Betting Type,Month,Total
Tropicana Evansville,0,0.00,,04-01-2020,,Retail,,
Harrah's Hoosier Park,0,0.00,,04-01-2020,,Retail,,
Harrah's Hoosier Park,0,0.00,,04-01-2020,,Retail,,
Harrah's Hoosier Park,0,0.00,,04-01-2020,,Retail,,
Indiana Grand,0,0.00,,04-01-2020,,Retail,,
Indiana Grand,0,0.00,,04-01-2020,,Retail,,
,,,,,,,Apr-2020 Retail Total:,-442.00
,,,,,,,Apr-2020 Online Total:,"1,629,997.00"
Ameristar Casino,1801639,,"1,801,639.00",05-01-2020,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,0,0.00,,05-01-2020,,Retail,,
Blue Chip Casino,1056061,,"1,056,061.00",05-01-2020,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,0,0.00,,05-01-2020,,Retail,,
Horseshoe Hammond,2755,,"2,755.00",05-01-2020,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,0,0.00,,05-01-2020,,Retail,,
Belterra Casino,123467,,"123,467.00",05-01-2020,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,0,0.00,,05-01-2020,,Retail,,
Caesars Southern Indiana,0,0.00,,05-01-2020,,Retail,,
French Lick Resort,168721,,"168,721.00",05-01-2020,FL - IN.betrivers.com,online,,
French Lick Resort,-341,-341.00,,05-01-2020,,Retail,,
Hollywood Lawrenceburg,74687,,"74,687.00",05-01-2020,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,0,0.00,,05-01-2020,,Retail,,
Rising Star Casino,0,0.00,,05-01-2020,,Retail,,
Rising Star Casino,10042,,"10,042.00",05-01-2020,RS - IN.BetAmerica.com,online,,
Tropicana Evansville,0,0.00,,05-01-2020,,Retail,,
Harrah's Hoosier Park,0,0.00,,05-01-2020,,Retail,,
Harrah's Hoosier Park,0,0.00,,05-01-2020,,Retail,,
Harrah's Hoosier Park,0,0.00,,05-01-2020,,Retail,,
Indiana Grand,0,0.00,,05-01-2020,,Retail,,
Indiana Grand,0,0.00,,05-01-2020,,Retail,,
,,,,,,,May-2020 Retail Total:,-341.00
,,,,,,,May-2020 Online Total:,"3,237,372.00"
Ameristar Casino,1600537,,"1,600,537.00",06-01-2020,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,-60108,"-60,108.00",,06-01-2020,,Retail,,
Blue Chip Casino,839056,,"839,056.00",06-01-2020,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,-43349,"-43,349.00",,06-01-2020,,Retail,,
Horseshoe Hammond,3658,,"3,658.00",06-01-2020,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,-30844,"-30,844.00",,06-01-2020,,Retail,,
Belterra Casino,132133,,"132,133.00",06-01-2020,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,-11798,"-11,798.00",,06-01-2020,,Retail,,
Caesars Southern Indiana,-31629,"-31,629.00",,06-01-2020,,Retail,,
French Lick Resort,157889,,"157,889.00",06-01-2020,FL - IN.betrivers.com,online,,
French Lick Resort,-154,-154.00,,06-01-2020,,Retail,,
Hollywood Lawrenceburg,33442,,"33,442.05",06-01-2020,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,-35912,"-35,911.81",,06-01-2020,,Retail,,
Rising Star Casino,-1200,"-1,199.97",,06-01-2020,,Retail,,
Rising Star Casino,2162,,"2,162.30",06-01-2020,RS - IN.BetAmerica.com,online,,
Tropicana Evansville,-2847,"-2,847.05",,06-01-2020,,Retail,,
Harrah's Hoosier Park,-4725,"-4,725.00",,06-01-2020,,Retail,,
Harrah's Hoosier Park,0,0.00,,06-01-2020,,Retail,,
Harrah's Hoosier Park,0,0.00,,06-01-2020,,Retail,,
Indiana Grand,-2508,"-2,508.32",,06-01-2020,,Retail,,
Indiana Grand,0,0.00,,06-01-2020,,Retail,,
,,,,,,,Jun-2020 Retail Total:,"-225,074.15"
,,,,,,,Jun-2020 Online Total:,"2,768,877.35"
Ameristar Casino,2207396,,"2,207,395.93",07-01-2020,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,230965,"230,964.57",,07-01-2020,,Retail,,
Blue Chip Casino,1121836,,"1,121,836.21",07-01-2020,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,55799,"55,799.00",,07-01-2020,,Retail,,
Horseshoe Hammond,27960,,"27,959.50",07-01-2020,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,-1246,,"-1,245.50",07-01-2020,HH - IN.Unibet.com,online,,
Horseshoe Hammond,15352,"15,351.57",,07-01-2020,,Retail,,
Belterra Casino,441896,,"441,895.83",07-01-2020,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,-18008,"-18,007.50",,07-01-2020,,Retail,,
Caesars Southern Indiana,41790,"41,790.03",,07-01-2020,,Retail,,
French Lick Resort,197598,,"197,597.60",07-01-2020,FL - IN.betrivers.com,online,,
French Lick Resort,1751,"1,751.02",,07-01-2020,,Retail,,
Hollywood Lawrenceburg,121887,,"121,886.74",07-01-2020,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,413420,"413,420.27",,07-01-2020,,Retail,,
Rising Star Casino,1309,"1,309.49",,07-01-2020,,Retail,,
Rising Star Casino,-447,,-447.12,07-01-2020,RS - IN.BetAmerica.com,online,,
Tropicana Evansville,-74479,"-74,478.60",,07-01-2020,,Retail,,
Harrah's Hoosier Park,17036,"17,035.80",,07-01-2020,,Retail,,
Harrah's Hoosier Park,51394,"51,394.36",,07-01-2020,,Retail,,
Harrah's Hoosier Park,11325,"11,324.83",,07-01-2020,,Retail,,
Indiana Grand,12606,"12,605.62",,07-01-2020,,Retail,,
Indiana Grand,8374,"8,374.22",,07-01-2020,,Retail,,
,,,,,,,Jul-2020 Retail Total:,"768,634.68"
,,,,,,,Jul-2020 Online Total:,"4,116,879.19"
Ameristar Casino,5181163,,"5,181,162.59",08-01-2020,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,638795,"638,795.26",,08-01-2020,,Retail,,
Blue Chip Casino,3541166,,"3,541,165.86",08-01-2020,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,101285,"101,284.75",,08-01-2020,,Retail,,
Horseshoe Hammond,18355,,"18,355.34",08-01-2020,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,38796,,"38,795.82",08-01-2020,HH - IN.Unibet.com,online,,
Horseshoe Hammond,191765,"191,765.14",,08-01-2020,,Retail,,
Belterra Casino,634599,,"634,599.19",08-01-2020,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,109273,"109,272.50",,08-01-2020,,Retail,,
Caesars Southern Indiana,-6409,"-6,409.10",,08-01-2020,,Retail,,
French Lick Resort,327687,,"327,686.55",08-01-2020,FL - IN.betrivers.com,online,,
French Lick Resort,16161,"16,160.91",,08-01-2020,,Retail,,
Hollywood Lawrenceburg,274923,,"274,923.12",08-01-2020,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,854022,"854,022.33",,08-01-2020,,Retail,,
Rising Star Casino,9761,"9,760.72",,08-01-2020,,Retail,,
Rising Star Casino,-599,,-599.41,08-01-2020,RS - IN.BetAmerica.com,online,,
Tropicana Evansville,94407,"94,407.44",,08-01-2020,,Retail,,
Harrah's Hoosier Park,81300,"81,299.88",,08-01-2020,,Retail,,
Harrah's Hoosier Park,141822,"141,822.43",,08-01-2020,,Retail,,
Harrah's Hoosier Park,59560,"59,560.32",,08-01-2020,,Retail,,
Indiana Grand,88569,"88,569.36",,08-01-2020,,Retail,,
Indiana Grand,205419,"205,418.52",,08-01-2020,,Retail,,
,,,,,,,Aug-2020 Retail Total:,"2,585,730.46"
,,,,,,,Aug-2020 Online Total:,"10,016,089.06"
Ameristar Casino,3183962,,"3,183,961.93",09-01-2020,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,44130,,"44,129.70",09-01-2020,AS - theScore.bet,online,,
Ameristar Casino,605159,"605,159.15",,09-01-2020,,Retail,,
Blue Chip Casino,2325224,,"2,325,223.96",09-01-2020,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,84709,"84,708.75",,09-01-2020,,Retail,,
Horseshoe Hammond,-13954,,"-13,954.46",09-01-2020,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,-28340,,"-28,340.38",09-01-2020,HH - IN.Unibet.com,online,,
Horseshoe Hammond,322540,"322,540.08",,09-01-2020,,Retail,,
Belterra Casino,1291794,,"1,291,794.49",09-01-2020,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,120850,"120,849.50",,09-02-2020,,Retail,,
Caesars Southern Indiana,109488,"109,488.31",,09-01-2020,,Retail,,
French Lick Resort,340387,,"340,387.25",09-01-2020,FL - IN.betrivers.com,online,,
French Lick Resort,30564,"30,564.37",,09-02-2020,,Retail,,
Hollywood Lawrenceburg,281042,,"281,041.84",09-01-2020,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,1180536,"1,180,536.07",,09-02-2020,,Retail,,
Rising Star Casino,8889,"8,888.56",,09-01-2020,,Retail,,
Rising Star Casino,13565,,"13,565.31",09-02-2020,RS - IN.BetAmerica.com,online,,
Tropicana Evansville,245214,"245,214.00",,09-01-2020,,Retail,,
Harrah's Hoosier Park,97139,"97,139.25",,09-01-2020,,Retail,,
Harrah's Hoosier Park,206310,"206,309.64",,09-01-2020,,Retail,,
Harrah's Hoosier Park,131438,"131,438.10",,09-01-2020,,Retail,,
Indiana Grand,149708,"149,708.06",,09-01-2020,,Retail,,
Indiana Grand,507912,"507,911.86",,09-01-2020,,Retail,,
,,,,,,,Sep-2020 Retail Total:,"3,800,455.70"
,,,,,,,Sep-2020 Online Total:,"7,437,809.64"
Ameristar Casino,8627935,,"8,627,935.47",10-01-2020,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,123494,,"123,494.04",10-01-2020,AS - theScore.bet,online,,
Ameristar Casino,844633,"844,632.98",,10-01-2020,,Retail*,,
Blue Chip Casino,7085879,,"7,085,879.43",10-01-2020,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,233229,"233,229.00",,10-01-2020,,Retail,,
Horseshoe Hammond,31182,,"31,181.76",10-01-2020,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,188558,,"188,557.69",10-01-2020,HH - IN.Unibet.com,online,,
Horseshoe Hammond,655874,"655,873.58",,10-01-2020,,Retail,,
Belterra Casino,1778855,,"1,778,854.54",10-01-2020,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,119353,"119,352.90",,10-01-2020,,Retail,,
Caesars Southern Indiana,428886,"428,886.00",,10-01-2020,,Retail,,
French Lick Resort,632752,,"632,751.70",10-01-2020,FL - IN.betrivers.com,online,,
French Lick Resort,79344,"79,344.05",,10-01-2020,,Retail,,
Hollywood Lawrenceburg,862865,,"862,865.33",10-01-2020,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,1867230,"1,867,229.61",,10-01-2020,,Retail**,,
Rising Star Casino,31154,"31,153.76",,10-01-2020,,Retail,,
Rising Star Casino,-10016,,"-10,015.56",10-01-2020,RS - IN.BetAmerica.com,online,,
Tropicana Evansville,227928,"227,927.81",,10-01-2020,,Retail,,
Tropicana Evansville,65406,,"65,405.79",10-01-2020,TP - WilliamHill.com,online,,
Harrah's Hoosier Park,147432,"147,431.89",,10-01-2020,,Retail,,
Harrah's Hoosier Park,243609,"243,608.65",,10-01-2020,,Retail,,
Harrah's Hoosier Park,171481,"171,481.10",,10-01-2020,,Retail,,
Indiana Grand,171267,"171,267.23",,10-01-2020,,Retail,,
Indiana Grand,486486,"486,485.74",,10-01-2020,,Retail,,
,,,,,,,Oct-2020 Retail Total:,"5,707,904.30"
,,,,,,,Oct-2020 Online Total:,"19,386,910.19"
Ameristar Casino,7047927,,"7,047,926.56",11-01-2020,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,45530,,"45,530.36",11-01-2020,AS - theScore.bet,online,,
Ameristar Casino,1288481,"1,288,481.44",,,,Retail*,,
Blue Chip Casino,7712196,,"7,712,196.13",11-01-2020,BC - in.sportsbook.FanDuel.com,online,,
Blue Chip Casino,376551,"376,550.80",,11-01-2020,,Retail,,
Horseshoe Hammond,67095,,"67,094.85",11-01-2020,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,-7008,,"-7,008.22",11-01-2020,HH - IN.Unibet.com,online,,
Horseshoe Hammond,1018310,"1,018,309.73",,11-01-2020,,Retail,,
Belterra Casino,2216093,,"2,216,093.14",11-01-2020,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,61839,"61,839.00",,11-01-2020,,Retail,,
Caesars Southern Indiana,359724,"359,723.85",,11-01-2020,,Retail,,
French Lick Resort,660365,,"660,364.98",11-01-2020,FL - IN.betrivers.com,online,,
French Lick Resort,48001,"48,000.71",,11-01-2020,,Retail,,
Hollywood Lawrenceburg,794517,,"794,517.17",11-01-2020,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,1731084,"1,731,083.71",,11-01-2020,,Retail**,,
Rising Star Casino,28691,"28,690.53",,11-01-2020,,Retail,,
Rising Star Casino,11005,,"11,005.38",11-01-2020,RS - IN.BetAmerica.com,online,,
Tropicana Evansville,152517,"152,517.42",,11-01-2020,,Retail,,
Tropicana Evansville,685922,,"685,921.92",11-01-2020,TP - WilliamHill.com,online,,
Harrah's Hoosier Park,109058,"109,057.87",,11-01-2020,,Retail,,
Harrah's Hoosier Park,228359,"228,359.23",,11-01-2020,,Retail,,
Harrah's Hoosier Park,157673,"157,673.47",,11-01-2020,,Retail,,
Indiana Grand,219008,"219,007.63",,11-01-2020,,Retail,,
Indiana Grand,242703,"242,703.03",,11-01-2020,,Retail,,
,,,,,,,Nov-2020 Retail Total:,"6,021,998.42"
,,,,,,,Nov-2020 Online Total:,"19,233,642.27"
Ameristar Casino,5129176,,"5,129,175.91",12-01-2020,AS - Sportsbook.DraftKings.com,online,,
Ameristar Casino,85721,,"85,721.07",12-01-2020,AS - theScore.bet,online,,
Ameristar Casino,1673975,"1,673,974.86",,12-01-2020,,Retail,,
