Casino,Gross Receipts,Gross Retail Receipts,Gross Online Receipts,Date,Online_co,Betting Type,Month,Total
Blue Chip Casino,Retail,"120,480.25","120,480.25",,,Retail,,
Horseshoe Hammond,HH - in.CaesarsOnline.com,,0.00,12-01-2021,HH - in.CaesarsOnline.com,online,,
Horseshoe Hammond,HH - IN.Unibet.com,,"195,358.31",,HH - IN.Unibet.com,online,,
Horseshoe Hammond,Retail,"353,317.09","353,317.09",,,Retail,,
Bally's Evansville,BL - in.BallyBet.com,,"44,874.38",12-01-2021,BL - in.BallyBet.com,online,,
Bally's Evansville,Retail,"80,730.19","80,730.19",,,Retail,,
Belterra Casino,BT - BetWay.com,,"-132,166.01",12-01-2021,BT - BetWay.com,online,,
Belterra Casino,BT - Sports.IN.BetMGM.com,,"3,634,471.77",,BT - Sports.IN.BetMGM.com,online,,
Belterra Casino,Retail,"56,342.50","56,342.50",,,Retail,,
Caesars Southern Indiana,Retail,"167,118.14","167,118.14",12-01-2021,,Retail,,
French Lick Resort,FL - IN.betrivers.com,,"1,026,589.34",12-01-2021,FL - IN.betrivers.com,online,,
French Lick Resort,Retail,"50,942.08","50,942.08",,,Retail,,
Hollywood Lawrenceburg,HW - BarstoolSportbook.com,,"1,054,659.20",12-01-2021,HW - BarstoolSportbook.com,online,,
Hollywood Lawrenceburg,HW - IN.PointsBet.com,,"781,348.20",,HW - IN.PointsBet.com,online,,
Hollywood Lawrenceburg,Retail,"1,500,030.44","1,500,030.44",,,Retail,,
Rising Star Casino*,Retail,"35,297.39","35,297.39",12-01-2021,,Retail,,
Rising Star Casino*,RS - in.TwinSpires.com,,"151,163.64",,RS - in.TwinSpires.com,online,,
Rising Star Casino*,RS - WynnBet.com,,"166,739.19",,RS - WynnBet.com,online,,
Harrah's Hoosier Park,Retail,"14,111.30","14,111.30",12-01-2021,,Retail,,
Harrah's Hoosier Park,HP - WilliamHill.com,,"1,620,925.17",,HP - WilliamHill.com,online,,
Harrah's Hoosier Park,WC Downtown Indianapolis,"189,512.98","189,512.98",,,Retail,,
Harrah's Hoosier Park,WC New Haven,"53,830.31","53,830.31",,,Retail,,
Indiana Grand,Retail,"158,861.16","158,861.16",12-01-2021,,Retail,,
Indiana Grand,WC Clarksville,"379,619.80","379,619.80",,,Retail,,
,,,,,,,Dec-2021 Retail Total:,"3,429,505.93"
,,,,,,,Dec-2021 Online Total:,"22,577,627.50"
